127.0.0.1 - - [20/Jul/2023:08:54:42 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:54 -0300] "GET /aluguel/ HTTP/1.1" 200 13893
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:55 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css;jsessionid=39790ED4AC85B7CD09F18170E6089A39?ln=css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:55 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js;jsessionid=39790ED4AC85B7CD09F18170E6089A39?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:55 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=39790ED4AC85B7CD09F18170E6089A39?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:55 -0300] "GET /aluguel/faces/javax.faces.resource/core.js;jsessionid=39790ED4AC85B7CD09F18170E6089A39?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:55 -0300] "GET /aluguel/faces/javax.faces.resource/components.js;jsessionid=39790ED4AC85B7CD09F18170E6089A39?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:55 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css;jsessionid=39790ED4AC85B7CD09F18170E6089A39?ln=primefaces&v=7.0 HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:55 -0300] "GET /aluguel/faces/javax.faces.resource/scripts.js;jsessionid=39790ED4AC85B7CD09F18170E6089A39?ln=js HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:55 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.js;jsessionid=39790ED4AC85B7CD09F18170E6089A39?ln=primefaces&v=7.0 HTTP/1.1" 200 93206
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:55 -0300] "GET /aluguel/faces/javax.faces.resource/components.css;jsessionid=39790ED4AC85B7CD09F18170E6089A39?ln=primefaces&v=7.0 HTTP/1.1" 200 93218
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:54:57 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:55:19 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 34928
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:55:19 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css;jsessionid=C3D9B6161923DE9EF26A70C68AD85244?ln=css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:55:19 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css;jsessionid=C3D9B6161923DE9EF26A70C68AD85244?ln=primefaces&v=7.0 HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:55:19 -0300] "GET /aluguel/faces/javax.faces.resource/inputnumber/inputnumber.css;jsessionid=C3D9B6161923DE9EF26A70C68AD85244?ln=primefaces&v=7.0 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:55:19 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js;jsessionid=C3D9B6161923DE9EF26A70C68AD85244?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [20/Jul/2023:08:55:19 -0300] "GET /aluguel/faces/javax.faces.resource/components.css;jsessionid=C3D9B6161923DE9EF26A70C68AD85244?ln=primefaces&v=7.0 HTTP/1.1" 200 93218
